year,month,naics,description,customs_value,calculated_duties
2025,6,930,USED OR SECOND-HAND MERCHANDISE,664225967,16288689
2025,6,980,GOODS RETURNED (EXPORTS FOR CANADA ONLY),9125025715,9781600
2025,6,990,OTHER SPECIAL CLASSIFICATION PROVISIONS,2994321654,1563123
2025,7,111,AGRICULTURAL PRODUCTS,3942555984,226500563
2025,7,112,LIVESTOCK & LIVESTOCK PRODUCTS,1080000491,75313363
2025,7,113,"FORESTRY PRODUCTS, NESOI",312933622,19103839
2025,7,114,"FISH, FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS",1361824064,103484863
2025,7,115,PRODUCTS SUPPORTING AGRICULTURE AND FORESTRY ,11625949,1129181
2025,7,211,OIL & GAS,12743538200,1940821
2025,7,212,MINERALS & ORES,600655129,12297997
2025,7,311,FOOD & KINDRED PRODUCTS,10949104435,1018993931
2025,7,312,BEVERAGES & TOBACCO PRODUCTS,2510328732,143866852
2025,7,313,TEXTILES & FABRICS,769867181,133242270
2025,7,314,TEXTILE MILL PRODUCTS,1879296602,468638439
2025,7,315,APPAREL & ACCESSORIES,7980842445,2110474568
2025,7,316,LEATHER & ALLIED PRODUCTS,3508868518,859812906
2025,7,321,WOOD PRODUCTS,2272227987,120523249
2025,7,322,PAPER,2172578640,204754949
2025,7,323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",548413912,39745666
2025,7,324,PETROLEUM & COAL PRODUCTS,5019333014,19583606
2025,7,325,CHEMICALS,27609793663,1097880536
2025,7,326,PLASTICS & RUBBER PRODUCTS,6834142768,1145213730
2025,7,327,NONMETALLIC MINERAL PRODUCTS,2590772187,446837165
2025,7,331,PRIMARY METAL MFG,21007617894,1438640014
2025,7,332,"FABRICATED METAL PRODUCTS, NESOI",8013737506,2286737149
2025,7,333,"MACHINERY, EXCEPT ELECTRICAL",21441559930,2900221641
2025,7,334,COMPUTER & ELECTRONIC PRODUCTS,59995339825,2123763868
2025,7,335,"ELECTRICAL EQUIPMENT, APPLIANCES & COMPONENTS",17867033171,2811396594
2025,7,336,TRANSPORTATION EQUIPMENT,34911267648,5885932320
2025,7,337,FURNITURE & FIXTURES,3412325526,634714567
2025,7,339,MISCELLANEOUS MANUFACTURED COMMODITIES,12148322338,1713844502
2025,7,910,WASTE AND SCRAP,713785519,6512480
2025,7,930,USED OR SECOND-HAND MERCHANDISE,809803515,22753217
2025,7,980,GOODS RETURNED (EXPORTS FOR CANADA ONLY),9729565329,9642393
2025,7,990,OTHER SPECIAL CLASSIFICATION PROVISIONS,3404455684,1543094
2025,8,111,AGRICULTURAL PRODUCTS,3598367693,212529321
2025,8,112,LIVESTOCK & LIVESTOCK PRODUCTS,942071771,76068513
2025,8,113,"FORESTRY PRODUCTS, NESOI",256945694,16485596
2025,8,114,"FISH, FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS",992319232,96625294
2025,8,115,PRODUCTS SUPPORTING AGRICULTURE AND FORESTRY ,7129349,631536
2025,8,211,OIL & GAS,11916279868,727681
2025,8,212,MINERALS & ORES,500806800,10135702
2025,8,311,FOOD & KINDRED PRODUCTS,9577502615,845112844
2025,8,312,BEVERAGES & TOBACCO PRODUCTS,2109341217,130407363
2025,8,313,TEXTILES & FABRICS,704944658,123094299
2025,8,314,TEXTILE MILL PRODUCTS,1873027511,459386215
2025,8,315,APPAREL & ACCESSORIES,7648476250,2083222681
2025,8,316,LEATHER & ALLIED PRODUCTS,3461702902,848509944
2025,8,321,WOOD PRODUCTS,1858996482,105559535
2025,8,322,PAPER,2131968608,204679895
2025,8,323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",499208709,34639633
2025,8,324,PETROLEUM & COAL PRODUCTS,5332037193,13588291
2025,8,325,CHEMICALS,24178280292,990621565
2025,8,326,PLASTICS & RUBBER PRODUCTS,6355786611,1089127556
2025,8,327,NONMETALLIC MINERAL PRODUCTS,2404556055,414849491
2025,8,331,PRIMARY METAL MFG,8998264945,1438770125
