date,dv_canada,dv_mexico,dv_china,dv_eu,dv_world,m_canada,m_mexico,m_china,m_eu,m_world,share_canada,share_mexico,share_china,share_eu,dv_row,m_row,share_row
2006-02-01,692553,672674,7885768,8668129,39592107,23750,14820.1,17905.4,24114,134702,2.916012631578947,4.5389302366380795,44.04128363510449,35.946458488844655,21672983,54112.5,40.05171263571264
2006-03-01,656032,742862,8298364,10019545,44385847,26477.7,17363.4,20531.3,29297.6,154040,2.477677441771755,4.278321066150638,40.41811283260193,34.1992006171154,24669044,60369.99999999999,40.863084313400705
2006-04-01,669733,696757,9398413,10436472,44152397,24836.8,15665.3,21459.1,27054.7,146919,2.696534980351736,4.4477731036111665,43.79686473337652,38.575448997771176,22951022,57903.09999999999,39.63694862623936
2006-05-01,681328,657503,9950393,10577825,46726464,26459,17154.6,22317.6,29601.5,159164,2.575033070032881,3.832808692712159,44.585407929168014,35.73408442139757,24859415,63631.29999999999,39.067903688907826
2006-06-01,689196,688967,10659942,10169344,48541044,26544.2,17787.3,23989.7,28397.9,160487,2.596409008370944,3.8733647040304042,44.43549523337098,35.81019723289398,26333595,63767.89999999999,41.29600472965239
2006-07-01,639946,720863,11033247,10864565,49869192,22926.6,15464.5,24632,28875.3,157768,2.7912817426046606,4.661405153739209,44.792331113998046,37.62580821671117,26610571,65869.59999999999,40.398865333932505
2006-08-01,597372,703866,12190121,10554250,51851878,26299.2,18038.7,26713.3,28457.7,167558,2.271445519255338,3.901977415223935,45.63315277408632,37.08750180091855,27806269,68049.09999999999,40.86206724262335
2006-09-01,692126,698596,12160317,9007494,47769126,24966.3,16897.5,27570.6,25538.9,158470,2.7722409808421755,4.134315727178577,44.10610215229266,35.269702297279835,25210593,63496.700000000004,39.70378460612913
2006-10-01,684422,762941,12561301,9851449,49570795,25080.8,17515.2,29388.6,28222.8,164028,2.7288682976619567,4.3558794646935235,42.742087067774584,34.90599444420823,25710682,63820.60000000002,40.28586694578238
2006-11-01,751794,741247,11136183,10563501,47104854,25242,17246.6,27775.1,28399.5,157288,2.978345614452104,4.297931186436747,40.09412387354141,37.19608091691755,23912129,58624.79999999999,40.78841889439283
2006-12-01,767499,613120,9950993,10436962,45286488,23889.4,15072.1,24109.2,27643.4,148952,3.212717774410408,4.067913562144625,41.2746710799197,37.75571022377855,23517914,58237.9,40.38248975323629
2007-01-01,1011572,762616,11331523,8787988,45133924,25114.8,15373.4,25640.6,26094.3,150833,4.027792377402966,4.960620292193009,44.193673314977026,33.67780703065421,23240225,58609.90000000001,39.65238807778208
2007-02-01,967809,768133,10131637,8589595,41745836,23678.8,15142.8,23038.9,25379.2,139793,4.087238373566228,5.072595556964366,43.97621848265325,33.84501875551633,21288662,52553.3,40.508706399027275
2007-03-01,948118,881349,9176321,11242458,47461147,27237.6,18190.6,22723,31283.6,161363,3.4809160865861903,4.8450793266852115,40.383404480042245,35.937225894718,25212901,61928.19999999999,40.7131177718713
2007-04-01,1037581,754197,10028762,10134697,46437226,26083.9,16254.9,24241.5,29325.3,156583,3.9778599059189763,4.63981322555045,41.37022048965618,34.559568018059494,24481989,60677.40000000001,40.34778846819408
2007-05-01,1148187,724348,11232675,10515840,48716451,26920.1,18018.9,25290.6,29714.4,163323,4.265166176945851,4.019934624200145,44.41442670399279,35.38971003957677,25095401,63378.99999999999,39.59576673661624
2007-06-01,1280887,711381,11807656,10544302,49795718,27837.4,17977.4,27071,30372.5,164462,4.6013169333342905,3.9570850067306726,43.6173617524288,34.716608774384724,25451492,61203.70000000001,41.58489110952441
2007-07-01,1245136,676679,12771165,11373068,52925992,24609.6,16896.9,28601.2,31395.5,166765,5.059553995188869,4.004752351022968,44.652549543375805,36.22515328629899,26859944,65261.8,41.157222142202635
2007-08-01,1438951,699202,12949222,11134662,53379749,26902.8,19115.3,28424.5,30192.8,170766,5.348703480678592,3.6578133746266084,45.55655156643037,36.87853395511513,27157712,66130.6,41.06678602643859
2007-09-01,1497827,667984,12949652,9476240,49332618,26390.7,17810.1,29419,27175.2,162772,5.675586475538731,3.7505909568166387,44.01798837485978,34.87091171362124,24740915,61976.999999999985,39.91951046355907
2007-10-01,1485129,769402,13212619,11761682,55446683,28714.4,19855.8,31555.4,33776.8,182044,5.1720704594210565,3.874948377803967,41.87118211146112,34.82177707775752,28217851,68141.60000000002,41.41060820409264
2007-11-01,1597150,754707,12095717,11369034,53280034,28010.5,19356.1,29780.7,31182.4,175663,5.701968904517949,3.899065410904056,40.61595932936432,36.45977859305249,27463426,67333.29999999999,40.78728652835967
2007-12-01,1503513,660083,10474575,10451239,49469085,25556.2,16721.8,25656.6,28517.4,162594,5.883163381097345,3.947439868913634,40.826044760412536,36.648639076493644,26379675,66142,39.88339481721145
2008-01-01,1788738,788298,11585814,9267557,51777685,27359.1,17054.5,26193,27757.8,168350.2,6.5380001535138215,4.6222287372834145,44.232481960829226,33.38721728667258,28347278,69985.8,40.50432802082708
2008-02-01,1765701,758313,10931476,10606175,50843606,27499,17674.5,24095.9,30473,165069.7,6.420964398705407,4.290435372994993,45.36653953577164,34.8051553834542,26781941,65327.30000000002,40.99655274288084
2008-03-01,1820903,678016,8882399,10940121,49974924,29968,17707.1,22440.2,31692.1,171194,6.076157901761879,3.8290629182644254,39.58253045873031,34.52002549531271,27653485,69386.6,39.854215367232285
2008-04-01,1894485,724443,10953922,11467845,53986951,31232.6,19364.9,25951.7,32752.3,182115.1,6.0657293981288785,3.7410107978868985,42.20888034309891,35.01386162193189,28946256,72813.6,39.7539141039586
2008-05-01,1870560,690775,12202615,11675390,57350119,30270.8,18837.2,27634.5,32658.1,182956.3,6.179420431571018,3.6670789713970224,44.15717671750891,35.75036514677829,30910779,73555.69999999998,42.023635149961194
2008-06-01,2078070,696909,12022197,11547965,58381885,31285.3,19179.9,27930.6,33387.5,190117.1,6.642320834385479,3.633538235340121,43.0431032630878,34.587690003743916,32036744,78333.80000000002,40.897727417794094
2008-07-01,2480893,702367,13536138,12578167,63505457,32208.4,19238,31247.3,34822.8,202614.4,7.702627264937097,3.650935648196278,43.31938439481171,36.12049289545929,34207892,85097.9,40.1982798635454
2008-08-01,1898525,677131,14100637,10194306,58241040,29994.4,19522.8,31823.7,29706.6,189874.9,6.329598191662443,3.4684112934620037,44.30860333650707,34.31663670699441,31370441,78827.40000000002,39.79636649185434
2008-09-01,2026561,709009,14478718,9787224,55384129,29653.6,17926.2,33078.7,29150.3,180189,6.834114576307767,3.955155024489295,43.770516979204146,33.575036963599004,28382617,70380.19999999998,40.32755945564236
2008-10-01,1664852,651922,14480134,10997050,58515001,27707.3,19695.7,34032.4,32068.2,185882.2,6.008712505368622,3.3099712119904345,42.54808359093099,34.292694943900806,30721043,72378.60000000002,42.44492571008557
2008-11-01,1361860,597139,11853991,8725505,46057056,22602.9,15471.6,28265,26550,147515,6.025156064044879,3.859581426613925,41.938761719441004,32.86442561205273,23518561,54625.5,43.05417982444097
2008-12-01,951200,504073,10624637,8123353,41106362,19710,14269.1,25079.5,26598.8,137762.9,4.8259766615931,3.5326194364045382,42.36383101736478,30.540298810472656,20903099,52105.499999999985,40.116876337430796
2009-01-01,932565,581098,11303879,6228105,38166784,17553,12464.9,24743.5,21187.9,122414.6,5.312852503845497,4.6618745437187625,45.684236264069355,29.394630897823752,19121137,46465.30000000001,41.15143343527319
2009-02-01,793273,464692,8308128,6105842,30449903,17262.1,12379.8,18845.5,21978.4,109012.2,4.595460575480388,3.753630914877462,44.08547398583217,27.781103265023837,14777968,38546.4,38.33812755536185
2009-03-01,809640,474760,8622991,6904551,33282056,17894.9,13929.6,21224.7,24116.1,121358.7,4.524417571486848,3.4082816448426376,40.62715138494301,28.63046263699355,16470114,44193.39999999999,37.26826630220803
